215//2648	8.119335347432024%	176,361,381,329
9//2646	0.3401360544217687%	12,361
2080//2638	78.84761182714178%	56,320,155,361
397//2637	15.054986727341676%	3,320,155,361
15//2628	0.5707762557077626%	127,361
221//2626	8.415841584158416%	12,381
368//2620	14.045801526717558%	83,320
9//2618	0.3437738731856379%	12,329
2292//2618	87.54774637127578%	56,320,155,381
2080//2610	79.69348659003832%	56,320,155,329
397//2609	15.216558068225373%	3,320,155,329
362//2606	13.891020721412126%	64,320
357//2599	13.736052327818392%	102,320,155,361
359//2595	13.834296724470136%	105,320,155
12//2594	0.4626060138781804%	20,361
575//2594	22.166538164996144%	59,320,155,361,381,329
359//2588	13.871715610510046%	176,320,361
12//577	2.079722703639515%	20,267
569//2580	22.05426356589147%	223,320,361,381,329
569//2579	22.062815044590927%	102,320,155,381
6//2576	0.2329192546583851%	191,329
224//2574	8.702408702408702%	20,381
3//2571	0.11668611435239207%	47,155
357//2571	13.885647607934656%	102,320,155,329
570//2571	22.170361726954493%	198,320,155,381
571//2568	22.235202492211837%	176,320,381
223//2565	8.693957115009747%	169,155,361,381
358//2563	13.968006242684353%	198,320,155,329
359//2560	14.0234375%	176,320,329
3//2558	0.11727912431587177%	176,155,361
11//2557	0.4301916308173641%	169,155,361,329
7//2555	0.273972602739726%	95,329
570//2550	22.352941176470587%	144,320,155,381,329
213//2550	8.352941176470589%	223,155,361,381,329
216//2544	8.49056603773585%	118,155,361,381,329
10//2541	0.39354584809130266%	132,155
364//2541	14.325068870523417%	122,320
218//2539	8.586057502953919%	99,155,381
215//2538	8.47123719464145%	176,155,381
223//2537	8.789909341742215%	169,155,381,329
6//2531	0.2370604504148558%	99,155,329
3//2530	0.11857707509881422%	176,155,329
2292//2524	90.8082408874802%	56,320,361,381
2080//2516	82.67090620031796%	56,320,361,329
573//2515	22.783300198807158%	107,320,361,381
397//2515	15.785288270377734%	3,320,361,329
220//2511	8.761449621664676%	187,155,381
361//2507	14.399680893498205%	107,320,361,329
8//2503	0.31961646024770274%	187,155,329
15//2502	0.5995203836930456%	5,155,361
359//2501	14.354258296681328%	105,320,361
12//2496	0.4807692307692308%	83,361
2292//2496	91.82692307692308%	56,320,381,329
1936//2494	77.62630312750602%	56,155,361,381
357//2490	14.337349397590362%	223,320,155,361
364//2490	14.61847389558233%	293,320,155,361,329
573//2487	23.03980699638118%	107,320,381,329
1724//2486	69.34835076427997%	56,155,361,329
41//2485	1.6498993963782695%	3,155,361,329
569//2485	22.89738430583501%	102,320,361,381
6//2482	0.24174053182917002%	64,361
571//2481	23.0149133413946%	105,320,381
3//2477	0.12111425111021397%	47,361
357//2477	14.412595882115463%	102,320,361,329
569//2477	22.971336293903917%	235,320,155,381
572//2477	23.09245054501413%	162,320,155,361,381,329
15//2474	0.6063055780113177%	5,155,329
3//2471	0.12140833670578713%	105,155,361
569//2470	23.036437246963562%	223,320,155,381
357//2469	14.459295261239369%	235,320,155,329
12//2468	0.4862236628849271%	83,329
1936//2466	78.50770478507705%	56,155,381,329
577//2466	23.39821573398216%	147,320,361,381
357//2462	14.500406173842405%	223,320,155,329
365//2458	14.84947111472742%	147,320,361,329
215//2457	8.75050875050875%	47,381
569//2457	23.158323158323157%	102,320,381,329
213//2455	8.676171079429736%	102,155,361,381
6//2454	0.24449877750611246%	64,329
215//2451	8.771929824561404%	105,155,381
570//2449	23.27480604328297%	198,320,381,329
1//2447	0.04086636697997548%	102,155,361,329
215//2444	8.797054009819968%	176,361,381
223//2443	9.128121162505117%	169,361,381,329
577//2438	23.666940114848238%	147,320,381,329
3//2436	0.12315270935960591%	176,361,329
569//2428	23.434925864909392%	212,320,155,361,381,329
213//2427	8.776266996291719%	102,155,381,329
10//2419	0.41339396444811904%	132,329
214//2419	8.846630839189748%	198,155,381,329
8//2417	0.33098882912701694%	122,361
218//2417	9.019445593711213%	99,381,329
215//2416	8.899006622516556%	176,381,329
2080//2406	86.45054031587698%	56,320,155
397//2405	16.507276507276508%	3,320,155
361//2394	15.079365079365079%	163,320,329
575//2390	24.05857740585774%	59,320,155,361,381
220//2389	9.208874005860192%	187,381,329
363//2382	15.239294710327457%	59,320,155,361,329
15//2380	0.6302521008403361%	5,361,329
569//2376	23.947811447811446%	223,320,361,381
1936//2372	81.61888701517707%	56,361,381,329
357//2368	15.076013513513514%	223,320,361,329
357//2367	15.082382762991127%	102,320,155
217//2363	9.183241641980533%	107,361,381,329
575//2362	24.34377646062659%	59,320,155,381,329
358//2359	15.175922000847818%	198,320,155
215//2357	9.121764955451846%	105,361,381
359//2356	15.237691001697792%	176,320
569//2355	24.16135881104034%	235,320,381,329
11//2353	0.46748831279218017%	169,155,361
569//2348	24.233390119250426%	223,320,381,329
213//2346	9.07928388746803%	223,155,361,381
570//2346	24.296675191815858%	144,320,155,381
216//2340	9.23076923076923%	118,155,361,381
1//2338	0.0427715996578272%	223,155,361,329
358//2338	15.312232677502138%	144,320,155,329
223//2333	9.558508358336905%	169,155,381
219//2333	9.387055293613374%	116,381,329
213//2333	9.129875696528076%	102,361,381,329
4//2332	0.17152658662092624%	118,155,361,329
12//2330	0.5150214592274678%	166,361
6//2327	0.2578427159432746%	99,155
3//2326	0.1289767841788478%	176,155
11//2325	0.4731182795698925%	169,155,329
213//2325	9.161290322580646%	235,155,381,329
